Baseline_data_(from_ENTSO-E_max_values),Assumption,Baseline_+_Assumption,Commentaries,source
2800.0,1.0,2800.0,"1400MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
1632.0,1.0,1632.0,,TIMES
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
1632.0,1.0,1632.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
600.0,1.0,600.0,"600MW2030,additionalto2025capacities",
600.0,1.0,600.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
2716.0,1.0,2716.0,,
2716.0,1.0,2716.0,,
3216.0,1.0,3216.0,"500MW2030,additionalto2025capacities",
3216.0,1.0,3216.0,,
3216.0,1.0,3216.0,,
3216.0,1.0,3216.0,,
3216.0,1.0,3216.0,,
3216.0,1.0,3216.0,,
1016.0,1.0,1016.0,,
1016.0,1.0,1016.0,,
1016.0,1.0,1016.0,,
1016.0,1.0,1016.0,,
1516.0,1.0,1516.0,"500MW2040,additionalto2025capacities",
1516.0,1.0,1516.0,,
1516.0,1.0,1516.0,,
1516.0,1.0,1516.0,,
900.0,1.0,900.0,,
1500.0,1.0,1500.0,"600MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
2000.0,1.0,2000.0,"500MW2040,additionalto2025capacities",
2000.0,1.0,2000.0,,
2000.0,1.0,2000.0,,
2000.0,1.0,2000.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,TIMESInitialcapacity,
0.0,1.0,0.0,,
1500.0,1.0,1500.0,1500MW2030,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
2300.0,1.0,2300.0,,
3200.0,1.0,3200.0,"900MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
4000.0,1.0,4000.0,"800MW2030,additionalto2025capacities",
4000.0,1.0,4000.0,,
4200.0,1.0,4200.0,"200MW2040,additionalto2025capacities",
4200.0,1.0,4200.0,,
4200.0,1.0,4200.0,,
4200.0,1.0,4200.0,,
2000.0,1.0,2000.0,,
3000.0,1.0,3000.0,"1000MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
4400.0,1.0,4400.0,"1400MW2030,additional2025capacities",
4400.0,1.0,4400.0,,
7800.0,1.0,7800.0,"1400MW2040,additional2025capacities",
7800.0,1.0,7800.0,,
7800.0,1.0,7800.0,,
7800.0,1.0,7800.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
699.999999999999,1.0,699.999999999999,"700MW2030,additionalto2025capacities",
699.999999999999,1.0,699.999999999999,,
1400.0,1.0,1400.0,"700MW2040,additionalto2025capacities",
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
4350.0,1.0,4350.0,,
5550.0,1.0,5550.0,"1200MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
7350.0,1.0,7350.0,"2000MW2030,additionalto2025capacities",
7350.0,1.0,7350.0,,
7350.0,1.0,7350.0,,
7350.0,1.0,7350.0,,
7350.0,1.0,7350.0,,
7350.0,1.0,7350.0,,
380.0,1.0,380.0,,"<-ExistingcapacitySotelMoulaine,0isdatafrom2014;However,thereisnotmarketdatainENTSOE,assumeitfollowstheoriginaldata"
380.0,1.0,380.0,,
380.0,1.0,380.0,,
380.0,1.0,380.0,,
380.0,1.0,380.0,,
380.0,1.0,380.0,,
380.0,1.0,380.0,,
380.0,1.0,380.0,,
2765.0,1.0,2765.0,,
4765.0,1.0,4765.0,"2000MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
4765.0,1.0,4765.0,,
4765.0,1.0,4765.0,,
4765.0,1.0,4765.0,,
4765.0,1.0,4765.0,,
4765.0,1.0,4765.0,,
4765.0,1.0,4765.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
4100.0,1.0,4100.0,"1800MW2030,additionalcapacity2025",
4100.0,1.0,4100.0,,
4100.0,1.0,4100.0,,
4100.0,1.0,4100.0,,
4100.0,1.0,4100.0,,
4100.0,1.0,4100.0,,
2300.0,1.0,2300.0,,<-InitialCapacity
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
4250.0,1.0,4250.0,,
5150.0,1.0,5150.0,"900MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
5150.0,1.0,5150.0,,
5150.0,1.0,5150.0,,
6150.0,1.0,6150.0,"1000MW2040,additionalto2025capacities",
6150.0,1.0,6150.0,,
6150.0,1.0,6150.0,,
6150.0,1.0,6150.0,,
1400.0,1.0,1400.0,,TIMESInitialcapacity
2800.0,1.0,2800.0,1400MW2025,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
2800.0,1.0,2800.0,,
3500.0,1.0,3500.0,,
5500.0,1.0,5500.0,"2000MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
10000.0,1.0,10000.0,"4500MW2030,additionalto2025",
10000.0,1.0,10000.0,,
10400.0,1.0,10400.0,"400MW2040,additionalto2025",
10400.0,1.0,10400.0,,
10400.0,1.0,10400.0,,
10400.0,1.0,10400.0,,
615.0,1.0,615.0,,
615.0,1.0,615.0,,
1715.0,1.0,1715.0,"700MW2030,additionalto2025capacities",
1715.0,1.0,1715.0,,
1715.0,1.0,1715.0,,
1715.0,1.0,1715.0,,
1715.0,1.0,1715.0,,
1715.0,1.0,1715.0,NoconnectionsbetweenGBandGermany?1400MWinthereport,
500.0,1.0,500.0,,
1450.0,1.0,1450.0,"950MW2025,correspondingtoprojects…",
2450.0,1.0,2450.0,"1000MW2030,additionalto2025",
2450.0,1.0,2450.0,,
2450.0,1.0,2450.0,,
2450.0,1.0,2450.0,,
2450.0,1.0,2450.0,,
2450.0,1.0,2450.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
3000.0,1.0,3000.0,2000MW2040,
3000.0,1.0,3000.0,,
3000.0,1.0,3000.0,,
3000.0,1.0,3000.0,,
0.0,1.0,0.0,,TIMES
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
0.0,1.0,0.0,,<-NorthConnect
0.0,1.0,0.0,,
1400.0,1.0,1400.0,,Assumedtheprojectgoeson(1400MW)
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
1400.0,1.0,1400.0,,
500.0,1.0,500.0,,
500.0,1.0,500.0,,
500.0,1.0,500.0,,
500.0,1.0,500.0,,
1500.0,1.0,1500.0,1000MW2040,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1100.0,1.0,1100.0,,
1100.0,1.0,1100.0,,
2100.0,1.0,2100.0,"1000MW2030,additionalto2025",
2100.0,1.0,2100.0,,
2600.0,1.0,2600.0,"500MW2040,additionalto2025capacities",
2600.0,1.0,2600.0,,
2600.0,1.0,2600.0,,
2600.0,1.0,2600.0,,
1100.0,1.0,1100.0,,
1717.0,1.0,1717.0,617MW2025,
2834.0,1.0,2834.0,1117MW2030,<--Project259-HU-RO
2834.0,1.0,2834.0,,
2834.0,1.0,2834.0,,
2834.0,1.0,2834.0,,
2834.0,1.0,2834.0,,
2834.0,1.0,2834.0,,
600.0,1.0,600.0,,https://transparency.entsoe.eu/transmission-domain/ntcYear/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=01.01.2022+00:00|UTC|YEAR&border.values=CTY|10YCS-SERBIATSOV!BZN_BZN|10YCS-SERBIATSOV_BZN_BZN|10YHU-MAVIR----U&direction.values=Export&direction.values=Import
600.0,1.0,600.0,,
1600.0,1.0,1600.0,1000MW2030,
1600.0,1.0,1600.0,,
2100.0,1.0,2100.0,500MW2040,MaximumcapacityexpansionfromENTSO-E(1500MW)
2100.0,1.0,2100.0,,
2100.0,1.0,2100.0,,
2100.0,1.0,2100.0,,
2000.0,1.0,2000.0,,
3300.0,1.0,3300.0,1300MW2025,
3300.0,1.0,3300.0,,
3300.0,1.0,3300.0,,
4800.0,1.0,4800.0,1500MW2040,
4800.0,1.0,4800.0,,
4800.0,1.0,4800.0,,
4800.0,1.0,4800.0,,
0.0,1.0,0.0,,<--GridMap
1200.0,1.0,1200.0,"1200MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1200.0,1.0,1200.0,,
1200.0,1.0,1200.0,,
2200.0,1.0,2200.0,"1000MW2040,additionalto2025capacities",
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
2200.0,1.0,2200.0,,
730.0,1.0,730.0,,
1930.0,1.0,1930.0,"1200MW2025,correspondingtoprojectsunderconstructionandexpectedtobecomeeffectiveby2025",
1930.0,1.0,1930.0,,<--Project150-Italy-Slovenia(1000MW)
1930.0,1.0,1930.0,,
2930.0,1.0,2930.0,"1000MW2040,additionalto2025capacities",MaximumcapacityexpansionfromENTSO-E(1000MW)
2930.0,1.0,2930.0,,
2930.0,1.0,2930.0,,
2930.0,1.0,2930.0,,
0.0,1.0,0.0,,<--GridMap
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,NocapacityexpansionfromENTSO-E
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
1500.0,1.0,1500.0,,
500.0,1.0,500.0,,
1000.0,1.0,1000.0,500MW2025,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
1700.0,1.0,1700.0,700MW2040,
1700.0,1.0,1700.0,,
1700.0,1.0,1700.0,,
1700.0,1.0,1700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
700.0,1.0,700.0,,
800.0,1.0,800.0,,https://transparency.entsoe.eu/transmission-domain/ntcYear/show?name=&defaultValue=false&viewType=TABLE&areaType=BORDER_BZN&atch=false&dateTime.dateTime=01.01.2022+00:00|UTC|YEAR&border.values=CTY|10YCS-SERBIATSOV!BZN_BZN|10YCS-SERBIATSOV_BZN_BZN|10YMK-MEPSO----8&direction.values=Export&direction.values=Import
800.0,1.0,800.0,,
2300.0,1.0,2300.0,1500MW2030,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
2300.0,1.0,2300.0,,
723.0,1.0,723.0,,TIMES
723.0,1.0,723.0,,
723.0,1.0,723.0,,
723.0,1.0,723.0,,
723.0,1.0,723.0,,
723.0,1.0,723.0,,
723.0,1.0,723.0,,
723.0,1.0,723.0,,
3500.0,1.0,3500.0,,TIMES
3500.0,1.0,3500.0,,
3500.0,1.2,4200.0,20%increase,
3500.0,1.2,4200.0,,
3500.0,1.2,4200.0,,
3500.0,1.2,4200.0,,
3500.0,1.2,4200.0,,
3500.0,1.2,4200.0,,
500.0,1.0,500.0,,TIMES
500.0,1.0,500.0,,
500.0,1.2,600.0,20%increase,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
3900.0,1.0,3900.0,,TIMES
3900.0,1.0,3900.0,,
3900.0,1.2,4680.0,20%increase,
