time,hour,dayofweek,month,East,North,West
2018-03-04 15:00:00,15,6,3,124703.29499999998,107917.97166666666,147683.37
2018-03-04 16:00:00,16,6,3,130779.65000000002,110974.59000000001,150505.09500000003
2018-03-04 17:00:00,17,6,3,140875.3275,114395.87833333333,160416.04750000002
2018-03-04 18:00:00,18,6,3,141091.415,115474.73166666666,171059.9475
2018-03-04 19:00:00,19,6,3,137009.06749999998,112198.97333333333,169757.87000000002
2018-03-04 20:00:00,20,6,3,131736.6775,107775.36666666665,164661.3325
2018-03-04 21:00:00,21,6,3,129225.53500000002,102411.47833333333,160799.41
2018-03-04 22:00:00,22,6,3,122195.67250000002,97004.93666666665,155478.455
2018-03-04 23:00:00,23,6,3,115565.3075,91747.96333333335,146733.86000000002
2018-03-05 00:00:00,0,0,3,112643.64749999999,90481.04666666666,140792.53
2018-03-05 01:00:00,1,0,3,110942.80249999998,89984.77,137125.8125
2018-03-05 02:00:00,2,0,3,110639.85500000001,89372.28166666666,134012.5225
2018-03-05 03:00:00,3,0,3,113634.41500000002,89947.64666666667,134351.3475
2018-03-05 04:00:00,4,0,3,122702.5075,93033.54666666668,141170.22999999998
2018-03-05 05:00:00,5,0,3,139972.36750000002,99099.19,159434.15500000003
2018-03-05 06:00:00,6,0,3,152477.05000000002,108992.99666666664,177158.41
2018-03-05 07:00:00,7,0,3,157892.45,116117.43166666667,191022.65499999997
2018-03-05 08:00:00,8,0,3,158938.95500000002,117628.36166666666,197734.315
2018-03-05 09:00:00,9,0,3,158416.51499999998,118920.21333333333,198245.695
2018-03-05 10:00:00,10,0,3,158575.49,118612.38499999998,196639.2525
2018-03-05 11:00:00,11,0,3,157625.5375,118524.87000000002,192881.955
2018-03-05 12:00:00,12,0,3,156378.49500000002,118102.84166666666,190562.0475
2018-03-05 13:00:00,13,0,3,154435.93,118029.57,188099.5525
2018-03-05 14:00:00,14,0,3,152228.995,116945.26999999999,186251.1825
2018-03-05 15:00:00,15,0,3,150927.25749999998,116719.61499999999,185584.4675
2018-03-05 16:00:00,16,0,3,153889.89,119706.38833333334,185113.9125
2018-03-05 17:00:00,17,0,3,160644.225,122157.42333333334,190017.6
