Node,Generator
SorligeNordsjoI,Windoffshorefloating
SorligeNordsjoII,Windoffshorefloating
Austria,Nuclear
BosniaH,Nuclear
Belgium,Nuclear
Bulgaria,Nuclear
Switzerland,Nuclear
CzechR,Nuclear
Germany,Nuclear
Denmark,Nuclear
Estonia,Nuclear
Spain,Nuclear
Finland,Nuclear
France,Nuclear
GreatBrit.,Nuclear
Greece,Nuclear
Croatia,Nuclear
Hungary,Nuclear
Ireland,Nuclear
Italy,Nuclear
Lithuania,Nuclear
Luxemb.,Nuclear
Latvia,Nuclear
Macedonia,Nuclear
Netherlands,Nuclear
Poland,Nuclear
Portugal,Nuclear
Romania,Nuclear
Serbia,Nuclear
Sweden,Nuclear
Slovenia,Nuclear
Slovakia,Nuclear
NO1,Nuclear
NO2,Nuclear
NO3,Nuclear
NO4,Nuclear
NO5,Nuclear
